name,state_province
Toronto Baptist Seminary and Bible College,Ontario
Cégep de Saint-Jérôme,Quebec
Lambton College,Ontario
Acadia University,Nova Scotia
Algonquin College,Ontario
Ashton College,British Columbia
Assumption University,Ontario
Athabasca University,Alberta
Augustana University College,Alberta
British Columbia Institute of Technology,British Columbia
British Columbia Open University,British Columbia
William and Catherine Booth College,Manitoba
Collège Boréal,Ontario
Bow Valley College,Alberta
Brandon University,Manitoba
Brock University,Ontario
DeVry Institute of Technology,Alberta
Camosun College,British Columbia
Capilano College,British Columbia
University College of the Cariboo,British Columbia
Carleton University,Ontario
Canadian College of Business & Computers,Ontario
Centennial College,Ontario
Canadian Mennonite University,Manitoba
College of New Caledonia,British Columbia
Columbia College,British Columbia
Concordia University College of Alberta,Alberta
Concordia University,Quebec
Conestoga College,Ontario
College of the Rockies,British Columbia
"University of Moncton, Shippagan",New Brunswick
"University of Moncton, Edmundston",New Brunswick
Dalhousie University,Nova Scotia
Douglas College,British Columbia
Durham College,Ontario
Emily Carr Institute of Art + Design,British Columbia
"École nationale d'administration publique, Université du Québec",Quebec
"École de technologie supérieure, Université du Québec",Quebec
First Nations University of Canada,Saskatchewan
George Brown College,Ontario
École des Hautes Études Commerciales,Quebec
Humber College,Ontario
Huron University College,Ontario
"Institut Armand-Frappier, Université du Québec",Quebec
"Institut National de la Recherche Scientifique, Université du Québec",Quebec
Kingston College,Ontario
King's University College,Alberta
Kwantleen University College,British Columbia
Lakehead University,Ontario
Langara College,British Columbia
Lansbridge University,New Brunswick
Laurentian University of Sudbury,Ontario
MacEwan University,Alberta
Malaspina University College,British Columbia
McGill University,Quebec
McMaster University,Ontario
Mount Saint Vincent University,Nova Scotia
Mount Allison University,New Brunswick
Mount Royal University,Alberta
Northern Alberta Institute of Technology,Alberta
North Island College,British Columbia
Nipissing University,Ontario
Northern Lights College,British Columbia
Nova Scotia Agricultural College,Nova Scotia
Nova Scotia College of Art and Design,Nova Scotia
Nicola Valley Institute of Technology,British Columbia
Ontario College of Art and Design,Ontario
Okanagan University College,British Columbia
Dominican College of Philosophy and Theology,Ontario
Pacific International College,British Columbia
"École Polytechnique de Montréal, Université de Montréal",Quebec
Queen's University,Ontario
Quest University,British Columbia
Redeemer College,Ontario
Regent College,British Columbia
Royal Military College of Canada,Ontario
Royal Roads University,British Columbia
Ryerson Polytechnic University,Ontario
Southern Alberta Institute of Technology,Alberta
Luther College,Saskatchewan
Sauder School of Business,British Columbia
"University of Toronto, Scarborough",Ontario
Selkirk College,British Columbia
Seneca College,Ontario
Simon Fraser University,British Columbia
Sheridan College,Ontario
Saskatchewan Indian Federated College,Saskatchewan
St. Clair College,
St. Francis Xavier University,
St. Mary's University,
St. Thomas University,
"Télé-université, Université du Québec",Quebec
Trent University,Ontario
University of Trinity College,Ontario
Thompson Rivers University,British Columbia
Trinity Western University,British Columbia
University of Alberta,Alberta
University of British Columbia,British Columbia
Bishop's University,Quebec
University of Calgary,Alberta
University College of Cape Breton,Nova Scotia
University of the Fraser Valley,British Columbia
Memorial University of Newfoundland,Newfoundland and Labrador
University of King's College,Nova Scotia
Université Laval,Quebec
University of Lethbridge,Alberta
University of Manitoba,Manitoba
University of Moncton,New Brunswick
Université de Montréal,Quebec
University of New Brunswick,New Brunswick
University of Northern British Columbia,British Columbia
"University of New Brunswick, Saint John",New Brunswick
University Canada West,British Columbia
University of Guelph,Ontario
University of Ontario Institute of Technology,Ontario
University of Ottawa,Ontario
University of Prince Edward Island,Prince Edward Island
Université du Québec à Chicoutimi,Quebec
Université du Québec à Montréal,Quebec
Université du Québec à Rimouski,Quebec
Université du Québec en Abitibi-Témiscamingue,Quebec
Université du Québec en Outaouais,Quebec
Université du Québec à Trois-Rivières,Quebec
University of Québec,Quebec
University of Regina,Saskatchewan
University of Saskatchewan,Saskatchewan
Université de Sherbrooke,Quebec
University of St. Jerome's College,
St. Anne University,
University College of Saint-Boniface,Manitoba
St. Paul University,
University of Sudbury,Ontario
"University of Toronto, Mississauga",Ontario
University of Toronto,Ontario
University of Victoria,British Columbia
University of Waterloo,Ontario
University of Windsor,Ontario
University of Winnipeg,Manitoba
University of Western Ontario,Ontario
Vancouver Community College,British Columbia
"Victoria University Toronto, University of Toronto",Ontario
Wilfrid Laurier University,Ontario
York University,Ontario
Yukon College,Yukon
Mohawk College,Ontario
College of Bois-de-Boulogne,Quebec
Fanshawe College,Ontario
Vanier College,Quebec
Ontario Tech University,Ontario
Toronto Metropolitan University,Ontario
Collège Universel Gatineau,Quebec
Cambrian College,
Georgian College,Ontario
Lethbridge College,Alberta
Niagara College Canada,Ontario
